cluster	Sheep_MAG	NHP	RUG	Uhgg	RGIG
clu_892	0	1	0	1	0
clu_893	0	1	0	0	0
clu_894	0	0	0	1	0
clu_895	0	0	0	0	1
clu_896	1	0	0	0	0
clu_897	1	0	0	0	0
clu_898	1	0	0	0	1
clu_899	1	0	0	0	1
clu_900	1	0	0	0	0
clu_901	1	0	0	0	0
clu_902	1	0	0	0	0
clu_903	1	0	0	0	0
clu_904	1	0	0	0	0
clu_905	1	0	0	0	0
clu_906	0	0	0	0	1
clu_907	0	0	0	0	1
clu_908	0	1	0	1	0
clu_909	0	0	0	1	1
clu_910	0	0	0	1	0
clu_911	0	0	0	1	0
clu_912	0	0	0	1	0
clu_913	0	0	0	1	0
clu_914	0	1	0	0	0
clu_915	0	1	1	1	0
clu_916	0	0	0	1	0
clu_917	0	0	0	1	0
clu_918	0	0	0	1	0
clu_919	0	0	0	1	0
clu_920	0	0	0	1	0
clu_921	0	0	0	1	0
clu_922	0	0	0	1	0
clu_923	0	0	0	1	0
clu_924	1	0	0	0	0
