Estimated genomic size	GC content	Phylum
2.205731978	48.27	Bacteroidetes
2.134881702	42.36	Bacteroidetes
2.190261957	48.89	Bacteroidetes
2.294813175	48.84	Bacteroidetes
1.85913212	50.37	Bacteroidetes
1.948268419	53.81	Bacteroidetes
2.239028024	46.2	Bacteroidetes
1.922236741	53.54	Bacteroidetes
1.85149272	48.96	Bacteroidetes
2.147331152	43.25	Bacteroidetes
2.321103371	49.22	Bacteroidetes
2.0738583	55.29	Bacteroidetes
2.124308078	48.57	Bacteroidetes
2.322905449	43.46	Bacteroidetes
2.561526736	45.22	Bacteroidetes
2.139784478	48.22	Bacteroidetes
2.145887114	49.09	Bacteroidetes
2.113955084	46.62	Bacteroidetes
2.186636787	41.09	Bacteroidetes
2.059988209	42.93	Bacteroidetes
2.273783	46.13	Bacteroidetes
2.30525132	42.18	Bacteroidetes
1.853285744	50.8	Bacteroidetes
2.01398128	49.02	Bacteroidetes
2.769665213	47.61	Bacteroidetes
1.84303766	49.71	Bacteroidetes
1.977576895	48.28	Bacteroidetes
2.013366158	46.57	Bacteroidetes
2.162192733	50.95	Bacteroidetes
2.07839486	43.58	Bacteroidetes
2.774018781	48.64	Bacteroidetes
1.966361607	56.42	Bacteroidetes
2.419013325	49.18	Bacteroidetes
1.989156577	54.16	Bacteroidetes
1.904513206	55.21	Bacteroidetes
2.979733693	48.13	Bacteroidetes
4.730359083	44.91	Bacteroidetes
2.83342928	39.01	Bacteroidetes
2.545793686	38.1	Bacteroidetes
3.571869394	49.47	Bacteroidetes
3.089608526	39.07	Bacteroidetes
2.123881552	36.44	Bacteroidetes
1.766075949	41.23	Bacteroidetes
3.530483555	53.41	Bacteroidetes
4.09388347	54.05	Bacteroidetes
2.478391655	54.21	Bacteroidetes
2.618905266	57.28	Bacteroidetes
2.932199215	49.48	Bacteroidetes
2.958219729	49.45	Bacteroidetes
3.831498814	49.62	Bacteroidetes
2.540350581	57.75	Bacteroidetes
2.141242229	36.55	Bacteroidetes
2.822951328	38.86	Bacteroidetes
2.93241061	48.04	Bacteroidetes
2.228801135	39.36	Bacteroidetes
2.211853905	36.06	Bacteroidetes
2.717430168	36.53	Bacteroidetes
2.723479423	38.16	Bacteroidetes
2.184579555	38.41	Bacteroidetes
2.461915039	47.16	Bacteroidetes
2.598448055	37.7	Bacteroidetes
2.106811635	32.75	Bacteroidetes
2.666554807	46.33	Bacteroidetes
2.411218203	41.37	Bacteroidetes
2.626502929	56.04	Bacteroidetes
3.366650505	43.69	Bacteroidetes
2.914601817	48.42	Bacteroidetes
2.084541765	37.98	Bacteroidetes
2.678719469	39.24	Bacteroidetes
2.676878246	40.65	Bacteroidetes
2.344375952	38.69	Bacteroidetes
2.283477546	31.53	Bacteroidetes
4.208199336	41.84	Bacteroidetes
2.35846708	37.92	Bacteroidetes
2.436901159	37.37	Bacteroidetes
2.732148506	38.65	Bacteroidetes
2.338576604	38.93	Bacteroidetes
2.49704452	40.17	Bacteroidetes
2.311000963	38.24	Bacteroidetes
2.35041535	33.55	Candidatus Melainabacteria
2.047523906	31.75	Candidatus Melainabacteria
2.119946953	38.14	Candidatus Melainabacteria
2.13487677	32.37	Candidatus Melainabacteria
2.550665682	32.45	Candidatus Melainabacteria
1.894418044	32.79	Candidatus Melainabacteria
2.245262796	31.64	Candidatus Melainabacteria
2.243731203	31.28	Candidatus Melainabacteria
2.050924037	30.96	Candidatus Melainabacteria
2.15101399	32.43	Candidatus Melainabacteria
2.064277197	30.88	Candidatus Melainabacteria
2.151667781	29.98	Candidatus Melainabacteria
2.167381793	30.13	Candidatus Melainabacteria
2.38546513	31.78	Candidatus Melainabacteria
1.929875969	31.13	Candidatus Melainabacteria
1.836623552	29.95	Candidatus Melainabacteria
2.144403413	32.88	Candidatus Melainabacteria
1.88499572	32.12	Candidatus Melainabacteria
1.664547969	33.61	Candidatus Melainabacteria
2.271315642	32.63	Candidatus Melainabacteria
2.378545574	30.23	Candidatus Melainabacteria
2.173787081	35.45	Candidatus Melainabacteria
2.104113625	32.7	Candidatus Melainabacteria
2.106245411	31.28	Candidatus Melainabacteria
1.765980831	32.49	Candidatus Melainabacteria
1.941624347	32.29	Candidatus Melainabacteria
2.456409036	29.25	Candidatus Melainabacteria
2.297364689	32.91	Candidatus Melainabacteria
1.454693386	54.4	Euryarchaeota
1.56951055	60.6	Euryarchaeota
1.621127804	54.92	Euryarchaeota
1.40391272	45.32	Euryarchaeota
2.740732885	33.72	Euryarchaeota
2.340022436	31.69	Euryarchaeota
2.300638938	39.17	Euryarchaeota
2.037728918	32.64	Euryarchaeota
2.354037889	33.33	Euryarchaeota
2.141181928	36.85	Euryarchaeota
2.773978336	34.47	Euryarchaeota
2.104061916	25.87	Euryarchaeota
2.408293142	31.78	Euryarchaeota
3.021211118	33.89	Euryarchaeota
2.671529463	36.98	Euryarchaeota
1.670689901	29.4	Euryarchaeota
2.411039323	35	Euryarchaeota
2.20402625	32.39	Euryarchaeota
1.960207609	32.08	Euryarchaeota
2.401020305	34.27	Euryarchaeota
2.026046328	35.64	Euryarchaeota
2.695962156	31.17	Euryarchaeota
2.390482104	30.77	Euryarchaeota
1.650916314	33.52	Euryarchaeota
1.880024395	32.43	Euryarchaeota
2.492636053	28.94	Euryarchaeota
2.288733974	29.71	Euryarchaeota
1.924258083	31.05	Euryarchaeota
2.052315104	33.15	Euryarchaeota
1.504769091	36.43	Euryarchaeota
2.36272583	29	Euryarchaeota
1.85847721	35.2	Euryarchaeota
1.451102151	29.94	Euryarchaeota
2.186899118	31.43	Euryarchaeota
2.158360099	36.3	Euryarchaeota
2.134712818	28.06	Euryarchaeota
2.608070602	32.07	Euryarchaeota
1.440886261	28.22	Euryarchaeota
1.796818081	35.6	Euryarchaeota
2.272932867	33.78	Euryarchaeota
1.606349412	50.59	Euryarchaeota
1.521368147	50.47	Euryarchaeota
1.742342273	50.57	Euryarchaeota
2.047894905	48.46	Firmicutes
2.171465616	47.41	Firmicutes
1.757438281	42.87	Firmicutes
1.848568728	42.11	Firmicutes
3.856264665	37.69	Firmicutes
3.243887821	43.63	Firmicutes
3.30394266	52.13	Firmicutes
3.761601273	51.33	Firmicutes
2.28955055	55.89	Firmicutes
