KO,p_value,p_adj,xz_mean,fxz_mean,foldchange,direction,zs,rzs
K11603,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K11609,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K12428,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K13686,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K14470,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K16046,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K16117,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K16434,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K16840,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K18223,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K18224,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K18226,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K18289,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K18472,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K18911,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K19811,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K21724,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K21822,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K22822,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K24288,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K24392,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K07357,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K00450,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K22270,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K05793,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K00217,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K00119,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K00301,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K00471,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K02366,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K03918,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K04788,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K05548,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K07425,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K07655,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K09164,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K09844,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K09990,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K10674,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K11730,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K12238,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K13669,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K14449,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K15228,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K15980,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K16237,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K16429,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K16645,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K16647,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K18225,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K18248,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K18701,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K19190,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K19349,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K19720,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K20760,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K20762,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K21200,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K22343,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K22552,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K22797,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K23464,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K24028,0.000839923716331821,0.00898898015913279,6.51418e-06,3.1584e-09,2062.49366767984,1,2.61247296452743,2.61247296452743
K16920,0.00220586405901552,0.0164628670077815,4.094e-08,1.23582e-06,30.1861260381045,-1,2.39848908776572,-2.39848908776572
K18434,0.000842069807587049,0.00898898015913279,8.054e-10,1.23775288e-06,1536.81758132605,-1,2.61247296452743,-2.61247296452743
K20109,0.00220586405901552,0.0164628670077815,3.085e-06,6.05756e-07,5.09280964612814,1,2.39848908776572,2.39848908776572
K09537,0.0107925280339073,0.0424850448649632,1.0386e-08,1.220942e-06,117.556518390141,-1,2.02873739525314,-2.02873739525314
K03813,0.0104634973398284,0.0424850448649632,2.7526e-06,6.63056e-07,4.15138389517627,1,2.02873739525314,2.02873739525314
K13797,0.000266655439069232,0.00580402674341777,3.082e-10,1.20379316e-06,3905.88306294614,-1,2.75865221762251,-2.75865221762251
K11622,0.0130941855079786,0.0488158232630462,2.7954e-06,6.422328e-07,4.35262727160618,1,1.97019677292199,1.97019677292199
K21307,0.00881366398607778,0.0373997893509094,2.7698e-06,6.02656e-07,4.59598842457389,1,2.08137287640961,2.08137287640961
K02840,0.00276479586824414,0.0185125234913965,2.2988e-07,1.10424e-06,4.80354967809292,-1,2.35520431972623,-2.35520431972623
K09682,0.00572607469159193,0.028960225009773,3.053e-06,5.39388e-07,5.66011850467567,1,2.1840275321937,2.1840275321937
K19505,0.00276479586824414,0.0185125234913965,4.0112e-08,1.107624e-06,27.6132828081372,-1,2.35520431972623,-2.35520431972623
K16384,0.00454717696097006,0.0251640515389661,1.8702e-09,1.09068988e-06,583.194246604641,-1,2.23887498490255,-2.23887498490255
K10126,0.00454717696097006,0.0251640515389661,1.41936e-07,1.0434e-06,7.35120054108894,-1,2.23887498490255,-2.23887498490255
K12306,0.00317737168968865,0.0209918687246015,2.53e-06,5.62076e-07,4.50117066019542,1,2.30813068934584,2.30813068934584
K14570,0.00572607469159193,0.028960225009773,1.1748e-07,9.72348e-07,8.27671092951992,-1,2.1840275321937,-2.1840275321937
K14680,0.00881366398607778,0.0373997893509094,1.7974e-07,9.378e-07,5.21753644152665,-1,2.08137287640961,-2.08137287640961
K01434,0.0104634973398284,0.0424850448649632,4.21142e-06,1.266406e-07,33.2548961391528,1,2.02873739525314,2.02873739525314
K08159,0.0107925280339073,0.0424850448649632,1.3698e-08,9.576288e-07,69.9101182654402,-1,2.02873739525314,-2.02873739525314
K16202,0.0071435588676968,0.0330294491078005,2.7004e-06,3.53044e-07,7.64890495235721,1,2.13172513692291,2.13172513692291
K21185,0.0113227222252236,0.0444512512966866,3.33232e-06,2.2596652e-07,14.7469633997107,1,2.00981047893379,2.00981047893379
K00613,0.0113318265399283,0.0444512512966866,2.4726e-06,3.88292e-07,6.36788808422527,1,2.00981047893379,2.00981047893379
K11406,0.00890243258160883,0.0373997893509094,2.385e-06,3.937e-07,6.05791211582423,1,2.08137287640961,2.08137287640961
K18992,0.000842069807587049,0.00898898015913279,3.932e-08,8.58116e-07,21.8239064089522,-1,2.61247296452743,-2.61247296452743
K09190,0.0071435588676968,0.0330294491078005,4.06792e-06,4.913376e-08,82.7927681496389,1,2.13172513692291,2.13172513692291
K00701,0.00539014958473646,0.028960225009773,4.842e-08,8.43164e-07,17.4135481206113,-1,2.1840275321937,-2.1840275321937
K17550,0.00755281009763692,0.0342329803381293,7.912e-08,8.30772e-07,10.5001516683519,-1,2.11731667840585,-2.11731667840585
K14375,5.61379871724699e-05,0.00203084366558185,1.97e-08,8.40084e-07,42.6438578680203,-1,3.08568423484935,-3.08568423484935
K07077,0.0104634973398284,0.0424850448649632,3.40058e-06,1.2631788e-07,26.9208127938816,1,2.02873739525314,2.02873739525314
K06224,0.000558544179757948,0.00884060159988415,2.182e-09,7.938408e-07,363.813382218148,-1,2.61815739989778,-2.61815739989778
K18136,0.0071435588676968,0.0330294491078005,1.8718e-06,4.16196e-07,4.49740026333747,1,2.13172513692291,2.13172513692291
K22251,0.0022033558894133,0.0164628670077815,2.1972e-06,3.182e-07,6.90509113764928,1,2.39848908776572,2.39848908776572
K23856,0.00016841396151741,0.00425885661908427,1.14538e-07,7.3056e-07,6.37831985891145,-1,2.85832372358346,-2.85832372358346
K23430,0.00881366398607778,0.0373997893509094,3.5046e-08,7.440964e-07,21.2319922387719,-1,2.08137287640961,-2.08137287640961
K18538,0.00265264619285221,0.0185125234913965,3.92e-08,7.22108e-07,18.4211224489796,-1,2.35520431972623,-2.35520431972623
K15739,0.00276479586824414,0.0185125234913965,4.7e-08,7.13616e-07,15.1833191489362,-1,2.35520431972623,-2.35520431972623
K16869,0.0071435588676968,0.0330294491078005,2.93346e-06,1.2396508e-07,23.6635994588153,1,2.13172513692291,2.13172513692291
K14492,2.8068993586235e-05,0.00203084366558185,1.4416e-08,7.0454e-07,48.8720865704773,-1,3.08568423484935,-3.08568423484935
K12158,5.61379871724699e-05,0.00203084366558185,2.7016e-06,1.27092e-07,21.2570421426998,1,3.08568423484935,3.08568423484935
K20755,0.0107925280339073,0.0424850448649632,1.3132e-09,6.6506424e-07,506.445507158087,-1,2.02873739525314,-2.02873739525314
K11707,0.000589448865310934,0.00884060159988415,1.861e-06,2.901812e-07,6.41323421365685,1,2.61815739989778,2.61815739989778
K11708,0.000589448865310934,0.00884060159988415,1.861e-06,2.901812e-07,6.41323421365685,1,2.61815739989778,2.61815739989778
K11709,0.000589448865310934,0.00884060159988415,1.861e-06,2.901812e-07,6.41323421365685,1,2.61815739989778,2.61815739989778
K09166,0.00158589813762228,0.0134991373065147,3.14926e-06,2.63016e-08,119.736441889467,1,2.47032228664212,2.47032228664212
K07734,0.000266655439069232,0.00580402674341777,3.01014e-06,2.562272e-08,117.479330843876,1,2.75865221762251,2.75865221762251
K00718,0.000266655439069232,0.00580402674341777,1.244e-08,6.11468e-07,49.1533762057878,-1,2.75865221762251,-2.75865221762251
K07104,0.0107925280339073,0.0424850448649632,2.43772e-06,1.2578208e-07,19.3805031686549,1,2.02873739525314,2.02873739525314
K11982,0.000842069807587049,0.00898898015913279,1.5856e-06,2.84508e-07,5.57312975382063,1,2.61247296452743,2.61247296452743
K05301,0.00210517451896762,0.0159397613286948,2.84195e-06,2.430068e-08,116.94940223895,1,2.41029190987612,2.41029190987612
K21209,5.61379871724699e-05,0.00203084366558185,2.88592e-06,2.24748e-09,1284.06926869205,1,3.08568423484935,3.08568423484935
K19293,0.0071435588676968,0.0330294491078005,2.34172e-08,5.45632e-07,23.3004799890679,-1,2.13172513692291,-2.13172513692291
K23167,0.00356476218545184,0.021847099385977,2.11322e-06,1.144756e-07,18.4600037038461,1,2.29301572952859,2.29301572952859
