SGBs	phylum	AH	GX	JL	SD	SX	XZ
AH2.bin143	Firmicutes	1	1	0	0	0	0
AH2.bin144	Firmicutes	1	0	0	0	0	0
AH2.bin145	Firmicutes	1	0	0	0	0	0
AH2.bin146	Firmicutes	0	0	0	0	0	0
AH2.bin147	Firmicutes	0	0	0	0	0	0
AH2.bin150	Firmicutes	1	0	0	1	0	0
AH2.bin151	Firmicutes	0	0	0	0	0	0
AH2.bin153	Lentisphaerae	0	0	0	0	0	0
AH2.bin154	Firmicutes	0	0	0	0	0	0
AH2.bin156	Bacteroidetes	1	1	1	1	1	0
AH2.bin157	Firmicutes	0	0	0	0	0	0
AH2.bin158	Proteobacteria	0	0	0	0	0	0
AH2.bin159	Firmicutes	0	0	0	1	0	1
AH2.bin160	Firmicutes	0	0	0	0	0	0
AH2.bin162	Firmicutes	1	0	1	0	0	1
AH2.bin163	Firmicutes	0	0	0	0	0	0
AH2.bin165	Bacteroidetes	0	0	1	0	1	0
AH2.bin166	Firmicutes	1	1	0	0	0	0
AH2.bin167	Firmicutes	0	0	0	0	0	0
AH2.bin169	Firmicutes	0	0	0	0	0	0
AH2.bin170	Bacteroidetes	1	1	1	1	1	0
AH2.bin171	Firmicutes	1	0	0	1	0	0
AH2.bin172	Bacteroidetes	0	1	1	0	1	0
AH2.bin173	Firmicutes	1	1	1	1	1	1
AH2.bin174	Firmicutes	0	0	0	1	0	1
AH2.bin176	Firmicutes	0	0	0	0	0	0
AH2.bin177	Candidatus Melainabacteria	0	0	0	0	1	0
AH2.bin178	Firmicutes	0	0	0	0	0	0
AH2.bin179	Firmicutes	1	0	0	0	0	0
AH2.bin180	Firmicutes	1	0	0	0	0	1
AH2.bin181	Firmicutes	1	0	0	0	0	0
AH2.bin182	Firmicutes	1	0	0	0	0	0
AH2.bin183	Verrucomicrobia	1	1	1	1	0	0
AH2.bin184	Firmicutes	0	0	0	0	0	1
AH2.bin186	Firmicutes	0	0	0	0	0	0
AH2.bin187	Firmicutes	0	0	0	0	0	0
AH2.bin189	Firmicutes	0	0	0	0	0	0
AH2.bin193	Proteobacteria	0	0	0	0	0	0
AH2.bin194	Firmicutes	1	0	0	0	0	0
AH2.bin195	Firmicutes	0	0	0	0	0	0
AH2.bin199	Firmicutes	0	1	0	1	0	0
AH2.bin200	Firmicutes	0	0	0	0	0	0
AH2.bin202	Firmicutes	0	0	0	0	0	0
AH2.bin203	Firmicutes	0	0	0	0	0	0
AH2.bin205	Firmicutes	0	0	0	0	0	0
AH2.bin206	Firmicutes	0	0	0	1	0	0
AH2.bin208	Firmicutes	0	0	0	0	0	0
AH3.bin001	Firmicutes	0	0	0	0	0	0
AH3.bin002	Firmicutes	0	0	0	0	1	0
AH3.bin005	Firmicutes	0	0	0	0	0	0
AH3.bin007	Lentisphaerae	0	0	0	1	0	0
AH3.bin008	Firmicutes	0	0	0	0	0	0
AH3.bin011	Firmicutes	0	0	0	0	0	0
AH3.bin012	Firmicutes	0	0	0	1	1	0
AH3.bin013	Firmicutes	1	0	1	0	1	0
AH3.bin014	Firmicutes	1	0	0	0	0	0
AH3.bin015	Firmicutes	0	0	0	0	0	0
AH3.bin016	Firmicutes	1	0	0	1	0	0
AH3.bin018	Firmicutes	0	0	0	0	0	0
AH3.bin022	Firmicutes	1	1	1	1	1	1
AH3.bin023	Firmicutes	0	0	0	0	0	0
AH3.bin024	Firmicutes	0	0	0	0	0	0
AH3.bin026	Firmicutes	0	0	0	0	0	0
AH3.bin027	Bacteroidetes	0	0	0	0	0	0
AH3.bin029	Firmicutes	1	0	0	1	0	1
AH3.bin030	Firmicutes	0	0	0	0	0	0
AH3.bin032	Firmicutes	1	1	0	1	1	1
AH3.bin033	Firmicutes	0	0	0	0	0	0
AH3.bin037	Firmicutes	0	1	0	0	0	1
AH3.bin038	Firmicutes	1	1	0	1	0	1
AH3.bin040	Candidatus Melainabacteria	0	0	0	0	0	0
AH3.bin043	Firmicutes	1	0	0	0	0	0
AH3.bin044	Firmicutes	0	0	0	1	0	0
AH3.bin045	Firmicutes	0	0	0	0	0	0
AH3.bin046	Firmicutes	0	0	0	0	0	0
AH3.bin049	Firmicutes	1	1	0	0	0	1
AH3.bin050	Firmicutes	0	0	0	0	0	0
AH3.bin051	Firmicutes	0	0	0	0	0	0
AH3.bin053	Firmicutes	1	0	1	0	0	0
AH3.bin054	Firmicutes	1	0	0	1	1	0
AH3.bin056	Firmicutes	1	0	0	0	0	0
AH3.bin057	Proteobacteria	0	0	0	0	0	0
AH3.bin058	Firmicutes	0	0	0	0	0	0
AH3.bin059	Firmicutes	0	0	0	0	0	0
AH3.bin060	Actinobacteria	0	0	0	0	0	1
AH3.bin061	Firmicutes	0	0	0	0	0	0
AH3.bin062	Firmicutes	1	0	0	0	0	0
AH3.bin063	Firmicutes	1	1	1	1	1	1
AH3.bin064	Firmicutes	0	0	0	0	0	0
AH3.bin065	Firmicutes	1	0	0	0	0	0
AH3.bin066	Firmicutes	0	0	0	0	0	0
AH3.bin067	Bacteroidetes	1	1	1	1	1	0
AH3.bin069	Firmicutes	0	1	0	0	0	1
AH3.bin071	Firmicutes	1	0	1	1	0	0
AH3.bin072	Firmicutes	1	0	1	1	0	0
AH3.bin073	Verrucomicrobia	1	0	1	1	1	0
AH3.bin074	Firmicutes	0	0	0	0	0	0
AH3.bin076	Firmicutes	0	0	0	0	0	0
AH3.bin078	Firmicutes	0	0	0	0	0	0
AH3.bin079	Firmicutes	1	0	1	0	1	1
AH3.bin080	Firmicutes	0	0	0	1	0	0
AH3.bin081	Firmicutes	1	1	0	0	0	0
AH3.bin082	Firmicutes	0	0	0	0	0	0
AH3.bin083	Firmicutes	0	0	0	0	1	1
AH3.bin084	Firmicutes	0	0	0	0	0	0
AH3.bin085	Firmicutes	0	0	0	0	0	0
AH3.bin087	Euryarchaeota	1	0	1	1	1	1
AH3.bin088	Firmicutes	1	0	0	0	0	0
AH3.bin089	Bacteroidetes	0	0	1	0	1	0
AH3.bin091	Firmicutes	1	1	1	1	1	1
AH3.bin092	Firmicutes	0	0	0	0	0	0
AH3.bin095	Firmicutes	0	1	1	1	1	0
AH3.bin096	Firmicutes	0	0	0	0	0	0
AH3.bin097	Firmicutes	1	0	0	0	0	0
AH3.bin098	Firmicutes	0	0	0	0	0	0
AH3.bin099	Firmicutes	0	0	0	0	0	0
AH3.bin100	Firmicutes	1	1	1	1	0	1
AH3.bin102	Firmicutes	0	1	0	0	0	1
AH3.bin105	Firmicutes	1	0	0	1	0	0
AH3.bin106	Firmicutes	0	0	0	0	0	0
AH3.bin107	Lentisphaerae	0	0	0	0	0	0
AH3.bin108	Candidatus Melainabacteria	0	0	0	0	0	0
AH3.bin109	Firmicutes	0	0	0	0	0	0
